Name,Austria,Albania,Belgium,Bosnia,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Lithuania,Luxembourg,FYROM,Malta,Montenegro,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom,Ukraine
Austria,,1,13,2,3,9,1,60,6,1,6,47,375,3,71,0,3,111,2,5,9,0,2,0,10,1,45,2,25,1,12,17,10,4,18,2,6,7
Albania,1,,1,0,1,0,1,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,1,8,0,0
Belgium,13,1,,0,5,3,1,13,3,4,4,294,128,8,9,0,5,55,1,3,8,1,0,0,36,0,34,5,114,1,5,3,11,3,11,4,33,1
Bosnia,2,0,0,,0,0,1,0,1,0,1,0,7,3,3,0,0,0,0,0,1,1,0,0,1,5,1,0,1,0,0,8,0,9,0,21,3,1
Bulgaria,3,1,5,0,,2,0,3,2,2,3,24,15,48,14,0,3,26,1,2,0,34,1,2,6,1,15,9,49,21,3,1,9,3,9,65,13,26
Croatia,9,0,3,0,2,0,0,16,1,0,0,6,30,0,67,0,0,59,0,0,0,3,0,0,5,0,15,1,2,0,10,40,1,1,0,3,3,2
Cyprus,1,1,1,1,0,0,0,1,0,0,0,5,3,83,1,0,0,3,0,0,1,0,2,0,0,0,0,0,6,1,1,0,0,1,0,0,4,2
Czech Republic,60,0,13,0,3,16,1,,5,2,6,57,132,5,16,0,2,61,3,6,3,0,0,1,53,2,331,3,5,4,153,3,0,11,73,0,25,6
Denmark,6,0,3,1,2,1,0,5,,10,120,13,81,0,11,36,4,7,15,18,2,0,0,0,4,78,43,2,11,1,1,0,4,102,1,2,23,1
Estonia,1,0,4,0,2,0,0,2,10,,246,3,21,1,3,0,0,7,43,18,2,0,0,0,2,22,20,0,0,0,0,0,0,144,0,0,5,8
